,day_of_week,hour,state,road_type,junction_type,weather_condition,road_condition,light_condition,speed_kmh,speed_limit_kmh,visibility_m,num_vehicles,driver_age,driver_experience_yrs,vehicle_type,alcohol_involved,seatbelt_worn,num_casualties,accident_severity,speed_excess_kmh,is_night
47,4,2,6,1,0,2,0,1,43.52,80,501.2,1,34.0,5.3,3,0.0,1.0,1.0,0,0.0,1
48,6,9,3,2,2,3,4,2,54.95,50,746.3,1,28.0,15.6,2,0.0,0.0,0.0,0,4.950000000000003,0
49,4,19,3,2,0,2,0,3,70.7,30,413.9,2,45.0,11.0,2,0.0,0.0,1.0,1,40.7,0
50,6,19,2,2,0,0,4,4,106.17,50,238.3,3,34.0,13.4,1,0.0,1.0,4.0,2,56.17,0
51,1,10,5,2,1,1,1,4,54.46,50,793.9,1,42.0,3.0,4,0.0,1.0,1.0,0,4.460000000000001,0
52,3,11,3,4,3,4,0,1,70.7,60,501.3,3,37.0,11.8,2,0.0,0.0,1.0,1,10.700000000000003,0
53,1,20,1,1,1,0,0,1,80.92,80,501.2,3,50.0,0.0,3,0.0,1.0,0.0,1,0.9200000000000017,0
54,1,11,3,2,3,2,0,2,51.62,100,884.5,1,28.0,5.3,5,0.0,1.0,0.0,0,0.0,0
55,2,6,4,4,0,4,0,0,63.74,100,450.7,1,44.0,10.1,0,0.0,1.0,1.0,1,0.0,0
56,2,9,6,4,0,0,0,3,60.19,120,944.0,1,55.0,5.7,0,0.0,1.0,0.0,0,0.0,0
57,2,11,1,4,0,0,4,4,35.42,60,892.2,2,28.0,13.9,4,0.0,1.0,0.0,0,0.0,0
58,4,21,3,1,0,0,0,4,52.33,100,853.7,1,52.0,11.3,0,0.0,1.0,0.0,0,0.0,1
59,3,16,0,4,1,0,3,4,70.7,100,652.6,1,50.0,10.1,1,0.0,0.0,1.0,0,0.0,0
60,3,10,3,1,1,2,0,0,101.67,60,313.0,1,28.0,4.5,0,1.0,0.0,5.0,2,41.67,0
61,2,11,2,1,0,0,0,3,71.58,60,493.5,1,50.0,9.0,2,0.0,1.0,2.0,1,11.579999999999998,0
62,5,12,6,4,3,5,0,0,47.54,80,773.7,1,39.0,16.8,1,0.0,1.0,0.0,0,0.0,0
63,2,15,6,1,2,1,1,1,109.09,30,217.4,2,47.0,10.1,0,0.0,1.0,2.0,2,79.09,0
64,6,17,1,2,0,3,0,1,70.7,80,865.4,5,37.0,18.4,0,0.0,1.0,0.0,0,0.0,0
65,2,6,2,4,3,0,1,4,70.7,120,363.4,1,41.0,11.5,4,1.0,1.0,0.0,1,0.0,0
66,2,20,3,3,3,3,4,4,74.35,120,496.5,4,27.0,15.3,3,0.0,1.0,2.0,1,0.0,0
67,3,9,6,4,0,1,0,1,70.7,120,738.6,2,22.0,0.5,3,0.0,1.0,0.0,0,0.0,0
68,0,2,3,1,3,4,0,2,64.71,60,294.9,3,16.0,3.4,2,0.0,1.0,1.0,1,4.709999999999994,1
69,0,12,5,1,0,0,0,1,122.28,30,225.6,2,61.0,11.4,2,0.0,1.0,3.0,2,92.28,0
70,0,21,4,3,2,3,0,0,43.24,50,788.1,1,16.0,9.9,3,0.0,1.0,0.0,0,0.0,1
71,0,20,0,1,2,3,4,1,124.85,30,285.0,2,43.0,10.1,4,0.0,0.0,4.0,2,94.85,0
72,3,11,3,1,2,1,1,1,98.89,50,208.3,4,24.0,10.1,2,1.0,0.0,5.0,2,48.89,0
73,2,1,2,1,0,0,0,4,118.98,60,331.2,3,52.0,21.6,1,0.0,0.0,2.0,2,58.980000000000004,1
74,0,15,3,3,0,0,0,3,58.95,50,818.8,2,64.0,7.9,3,0.0,1.0,0.0,0,8.950000000000003,0
75,1,20,1,4,3,0,0,4,74.22,60,518.3,1,24.0,3.6,4,0.0,0.0,1.0,1,14.219999999999999,0
76,0,19,1,1,0,2,0,2,75.64,60,547.1,1,50.0,5.2,5,1.0,1.0,1.0,1,15.64,0
77,4,21,4,4,0,2,1,1,53.35,50,847.9,1,37.0,0.0,1,0.0,1.0,0.0,0,3.3500000000000014,1
78,1,8,4,2,3,1,0,4,92.57,80,167.1,3,43.0,10.1,3,0.0,0.0,1.0,2,12.569999999999993,0
79,1,9,2,3,0,2,0,3,80.1,50,436.6,3,55.0,3.4,0,0.0,1.0,4.0,1,30.099999999999994,0
80,5,17,3,2,3,0,4,1,82.74,50,466.5,1,38.0,15.9,1,0.0,1.0,1.0,1,32.739999999999995,0
81,1,19,5,4,0,3,0,1,25.28,50,727.4,1,31.0,5.1,1,0.0,1.0,1.0,0,0.0,0
82,2,5,2,1,0,5,0,1,81.58,60,489.9,2,22.0,18.9,4,0.0,1.0,1.0,1,21.58,1
83,1,16,3,1,1,0,0,0,89.29,60,168.9,3,26.0,10.1,2,0.0,1.0,4.0,2,29.290000000000006,0
84,0,22,5,4,3,3,1,1,70.7,100,824.4,4,24.0,10.1,5,0.0,1.0,0.0,0,0.0,1
85,2,2,4,4,0,1,1,4,39.91,100,774.1,2,16.0,18.7,0,0.0,1.0,0.0,0,0.0,1
86,3,15,2,1,0,0,3,4,65.01,60,733.7,1,42.0,11.2,2,0.0,1.0,0.0,0,5.010000000000005,0
87,1,9,3,1,0,0,0,3,77.5,60,310.7,3,39.0,10.8,1,0.0,1.0,3.0,2,17.5,0
88,0,7,1,3,0,0,0,3,70.7,100,216.0,4,43.0,12.3,5,1.0,1.0,1.0,2,0.0,0
89,0,18,2,3,0,0,4,2,74.94,50,646.2,2,24.0,6.8,5,0.0,0.0,1.0,1,24.939999999999998,0
90,2,12,1,1,2,0,2,0,73.89,80,535.2,2,33.0,18.7,3,0.0,1.0,5.0,1,0.0,0
91,0,16,1,4,0,2,2,4,108.04,50,282.4,2,35.0,3.2,2,1.0,0.0,2.0,2,58.040000000000006,0
92,1,19,2,4,0,0,0,1,48.42,50,877.6,1,46.0,15.2,3,0.0,0.0,0.0,0,0.0,0
93,3,3,3,4,0,5,4,3,54.14,80,825.5,2,36.0,10.1,4,0.0,1.0,0.0,0,0.0,1
94,3,20,0,0,0,0,0,0,69.24,100,487.9,1,45.0,21.6,3,0.0,1.0,0.0,1,0.0,0
95,4,19,6,2,2,5,1,4,69.93,50,499.2,2,42.0,9.7,3,0.0,1.0,2.0,1,19.930000000000007,0
96,2,8,2,3,1,0,0,1,107.96,50,230.5,1,24.0,23.5,5,1.0,1.0,3.0,2,57.959999999999994,0
97,3,18,5,4,2,1,0,1,95.49,60,146.5,1,28.0,12.8,5,0.0,1.0,2.0,2,35.489999999999995,0
98,6,9,2,4,0,0,0,0,111.09,120,290.0,2,22.0,14.6,4,0.0,1.0,3.0,2,0.0,0
99,5,22,5,3,1,1,3,3,73.21,80,470.3,6,37.0,6.9,3,1.0,1.0,1.0,1,0.0,1
100,0,11,0,1,0,5,0,1,100.45,80,345.3,1,55.0,6.2,0,0.0,0.0,5.0,2,20.450000000000003,0
101,2,1,5,4,0,2,4,4,70.7,60,472.3,1,38.0,7.7,1,0.0,1.0,2.0,1,10.700000000000003,1
102,0,7,2,4,3,1,3,0,47.33,30,787.3,1,33.0,9.2,4,0.0,0.0,0.0,0,17.33,0
103,3,8,2,1,3,0,1,1,38.98,50,941.3,1,37.0,4.7,0,0.0,1.0,0.0,0,0.0,0
104,2,21,5,0,0,0,4,1,93.3,120,320.3,6,24.0,13.1,0,0.0,0.0,2.0,2,0.0,1
105,1,19,3,4,2,0,3,1,70.7,60,731.6,1,31.0,16.5,4,0.0,0.0,0.0,0,10.700000000000003,0
106,0,22,2,3,0,0,4,3,67.88,30,501.2,3,44.0,6.7,3,0.0,1.0,2.0,1,37.879999999999995,1
107,3,11,1,1,0,4,1,1,114.02,50,116.0,2,21.0,18.2,0,0.0,1.0,4.0,2,64.02,0
108,0,14,1,1,1,1,0,1,72.45,30,305.6,3,35.0,23.8,2,0.0,0.0,1.0,2,42.45,0
109,1,14,4,0,0,0,0,1,86.0,100,519.3,4,20.0,12.1,4,0.0,1.0,1.0,1,0.0,0
110,6,19,4,1,0,1,4,1,28.48,60,600.2,2,44.0,7.0,3,0.0,1.0,1.0,0,0.0,0
111,5,7,0,4,0,0,1,0,86.8,50,224.3,4,37.0,20.0,1,1.0,0.0,0.0,2,36.8,0
112,5,7,0,4,1,0,4,0,53.42,50,603.3,1,35.0,2.1,0,0.0,1.0,0.0,0,3.4200000000000017,0
113,1,23,5,1,0,0,3,1,70.11,60,501.2,1,37.0,14.2,1,0.0,1.0,1.0,1,10.11,1
114,0,18,1,2,0,2,4,2,112.98,120,290.8,5,41.0,9.9,0,0.0,1.0,6.0,2,0.0,0
115,0,11,2,2,0,0,2,1,24.11,120,678.8,1,33.0,12.7,3,0.0,1.0,0.0,0,0.0,0
116,4,20,4,3,2,5,0,4,17.74,60,909.6,1,52.0,17.6,3,0.0,1.0,0.0,0,0.0,0
117,6,10,5,0,0,0,4,1,112.2,50,280.4,1,46.0,12.3,0,0.0,1.0,3.0,2,62.2,0
118,1,9,1,4,0,5,0,1,87.52,120,315.2,6,46.0,10.1,1,1.0,0.0,1.0,2,0.0,0
119,3,21,3,3,3,3,0,1,70.7,60,769.3,1,25.0,0.0,3,0.0,0.0,0.0,0,10.700000000000003,1
120,5,23,3,0,3,0,4,1,40.66,80,773.1,1,16.0,8.0,1,0.0,1.0,0.0,0,0.0,1
121,2,8,2,1,0,3,4,1,95.65,50,315.5,4,32.0,11.4,5,0.0,1.0,4.0,2,45.650000000000006,0
122,5,23,0,2,1,2,1,4,38.77,50,893.4,2,33.0,13.3,1,1.0,1.0,0.0,0,0.0,1
123,2,20,1,4,0,0,0,1,36.51,50,866.9,2,48.0,10.0,3,0.0,1.0,1.0,0,0.0,0
124,3,7,2,3,3,1,1,1,62.57,120,823.3,1,38.0,2.1,2,0.0,1.0,0.0,0,0.0,0
125,4,19,0,4,2,1,4,4,46.09,50,806.1,3,36.0,7.6,3,0.0,1.0,0.0,0,0.0,0
126,4,22,5,3,3,0,0,3,68.55,100,545.4,2,21.0,22.2,0,0.0,1.0,1.0,1,0.0,1
127,4,4,3,3,0,0,1,1,53.38,80,759.8,1,16.0,10.1,2,0.0,1.0,0.0,0,0.0,1
128,2,11,1,3,0,0,0,2,44.15,100,796.4,1,66.0,10.1,4,0.0,0.0,1.0,0,0.0,0
129,3,12,2,4,3,3,4,3,33.19,50,788.1,1,37.0,5.5,5,0.0,1.0,2.0,0,0.0,0
130,0,8,4,3,0,0,0,1,70.7,50,451.7,3,29.0,0.0,0,1.0,1.0,0.0,1,20.700000000000003,0
131,3,19,2,1,0,0,1,1,53.12,60,696.2,1,35.0,16.7,2,0.0,1.0,0.0,0,0.0,0
132,5,8,0,1,0,1,4,3,72.38,30,438.6,2,46.0,22.3,2,1.0,1.0,2.0,1,42.379999999999995,0
133,5,17,6,4,0,5,4,3,94.49,60,255.0,2,45.0,10.1,3,0.0,0.0,4.0,2,34.489999999999995,0
134,6,12,1,3,3,0,3,1,30.39,60,828.6,1,45.0,8.3,4,0.0,1.0,0.0,0,0.0,0
135,0,10,5,4,0,2,1,1,68.59,120,410.4,1,43.0,7.6,1,0.0,0.0,0.0,1,0.0,0
136,2,6,0,4,1,0,0,3,55.47,30,840.5,1,39.0,4.8,2,0.0,1.0,0.0,0,25.47,0
137,2,15,4,3,1,2,1,4,70.7,50,216.5,3,41.0,6.5,3,0.0,0.0,0.0,2,20.700000000000003,0
138,5,1,5,3,0,0,4,4,76.29,50,488.8,2,31.0,16.6,1,0.0,1.0,3.0,1,26.290000000000006,1
139,0,15,0,3,0,0,0,3,66.8,80,476.4,2,33.0,8.3,4,0.0,1.0,1.0,1,0.0,0
140,5,10,6,2,0,2,4,4,99.94,60,217.5,4,48.0,18.3,1,0.0,0.0,6.0,2,39.94,0
141,4,11,5,4,0,0,0,1,76.31,100,408.8,1,53.0,18.8,4,1.0,1.0,0.0,1,0.0,0
142,1,3,5,3,0,0,1,1,70.7,80,971.2,2,44.0,5.3,0,0.0,1.0,0.0,0,0.0,1
143,1,18,4,3,1,0,1,2,32.44,80,835.8,3,28.0,9.3,5,0.0,1.0,0.0,0,0.0,0
144,4,19,3,3,3,1,4,1,70.7,50,719.4,1,51.0,17.0,1,0.0,1.0,0.0,0,20.700000000000003,0
145,2,13,6,3,1,0,0,1,70.7,80,264.8,6,44.0,4.0,1,0.0,0.0,2.0,2,0.0,0
146,6,23,6,4,0,0,0,1,54.21,50,501.2,2,46.0,16.7,3,0.0,1.0,3.0,1,4.210000000000001,1
147,4,2,3,1,1,0,4,1,62.59,100,795.6,2,32.0,19.9,3,0.0,1.0,0.0,0,0.0,1
148,1,18,6,2,3,1,4,1,35.01,80,744.8,1,41.0,10.6,5,0.0,1.0,0.0,0,0.0,0
149,2,6,2,0,2,0,0,3,42.87,30,552.7,3,34.0,4.1,3,0.0,1.0,0.0,1,12.869999999999997,0
150,2,6,3,3,3,3,3,4,34.33,120,501.2,1,50.0,10.1,0,0.0,1.0,0.0,0,0.0,0
151,5,16,5,3,1,1,0,3,60.35,80,632.7,3,45.0,9.1,4,0.0,1.0,1.0,1,0.0,0
152,0,6,0,4,3,0,0,1,68.27,80,511.5,4,43.0,15.2,3,0.0,1.0,1.0,1,0.0,0
153,6,21,3,3,2,2,2,4,52.33,100,513.3,3,45.0,3.9,5,0.0,1.0,0.0,1,0.0,1
154,1,10,1,4,0,1,4,3,70.7,30,501.2,1,42.0,8.3,4,0.0,1.0,0.0,1,40.7,0
155,4,21,2,3,1,0,3,1,87.04,100,538.5,2,37.0,14.9,0,1.0,1.0,0.0,1,0.0,1
156,4,18,2,4,0,0,1,1,42.1,60,787.4,1,37.0,10.1,4,0.0,1.0,0.0,0,0.0,0
157,2,10,5,4,0,5,1,1,60.73,80,505.7,3,32.0,12.3,3,1.0,1.0,0.0,1,0.0,0
158,1,19,2,0,0,2,4,2,63.06,50,880.3,1,35.0,3.4,1,0.0,1.0,1.0,0,13.060000000000002,0
159,3,8,0,1,1,1,1,1,108.39,50,160.6,3,53.0,9.8,2,0.0,1.0,5.0,2,58.39,0
160,0,1,2,1,0,0,0,1,93.46,50,316.0,4,44.0,4.9,3,0.0,1.0,5.0,2,43.459999999999994,1
161,4,12,4,3,3,0,0,4,106.4,120,180.6,6,49.0,1.0,2,0.0,1.0,4.0,2,0.0,0
162,0,6,2,1,1,1,3,3,76.6,60,569.8,3,64.0,5.9,0,0.0,1.0,1.0,1,16.599999999999994,0
163,0,11,6,2,0,0,4,4,117.95,60,290.3,1,37.0,6.0,3,1.0,0.0,1.0,2,57.95,0
164,3,23,6,1,0,0,0,2,70.7,50,699.7,2,29.0,10.1,1,0.0,1.0,0.0,0,20.700000000000003,1
165,3,21,2,0,1,4,4,1,70.7,60,428.1,4,56.0,7.9,5,0.0,1.0,1.0,1,10.700000000000003,1
166,6,14,3,1,0,2,4,3,80.73,80,464.3,4,43.0,5.4,2,0.0,1.0,3.0,1,0.730000000000004,0
167,3,4,5,2,1,5,0,1,65.61,50,477.7,1,44.0,2.3,1,0.0,0.0,2.0,1,15.61,1
168,0,12,6,3,0,2,1,1,70.7,80,518.5,1,39.0,24.1,4,0.0,1.0,1.0,1,0.0,0
169,4,18,3,4,1,2,4,0,110.46,100,501.2,1,41.0,21.0,2,0.0,0.0,4.0,2,10.459999999999994,0
170,3,1,6,4,1,4,0,1,27.34,120,819.3,2,34.0,4.4,1,0.0,1.0,0.0,0,0.0,1
171,6,9,2,0,0,3,0,0,110.13,30,275.9,6,37.0,14.2,0,1.0,1.0,2.0,2,80.13,0
172,0,18,1,4,0,2,0,1,40.49,80,710.5,3,19.0,16.7,1,0.0,1.0,0.0,0,0.0,0
173,1,9,6,0,1,0,3,3,69.1,50,467.0,1,23.0,5.4,3,0.0,1.0,1.0,1,19.099999999999994,0
174,1,18,5,3,0,3,1,1,63.81,50,399.8,3,51.0,0.0,2,0.0,1.0,0.0,1,13.810000000000002,0
175,3,4,1,2,0,0,0,1,56.62,100,550.5,1,37.0,23.0,0,0.0,0.0,2.0,1,0.0,1
176,1,13,2,1,0,2,4,3,50.37,60,802.0,1,50.0,16.2,3,0.0,1.0,0.0,0,0.0,0
177,4,17,0,4,3,0,1,0,39.09,80,501.2,1,37.0,18.8,0,0.0,1.0,0.0,0,0.0,0
178,2,6,3,1,0,2,4,3,61.87,80,506.4,6,39.0,1.0,5,0.0,1.0,1.0,1,0.0,0
179,4,7,6,1,3,0,0,2,73.36,80,267.6,2,27.0,10.3,4,0.0,1.0,1.0,1,0.0,0
180,3,17,4,4,2,1,0,1,80.26,50,501.2,2,54.0,1.7,3,0.0,1.0,0.0,1,30.260000000000005,0
181,0,8,1,4,3,4,4,1,35.41,80,955.3,3,43.0,14.4,4,0.0,1.0,0.0,0,0.0,0
182,2,8,5,0,0,2,4,1,71.96,100,500.7,6,32.0,9.6,3,0.0,1.0,2.0,1,0.0,0
183,0,10,2,4,3,3,0,1,85.71,100,324.7,2,51.0,19.1,3,0.0,1.0,0.0,1,0.0,0
184,3,15,1,1,1,0,4,1,70.7,80,338.8,1,22.0,1.7,5,1.0,0.0,5.0,2,0.0,0
185,0,0,4,1,0,0,1,1,118.52,80,501.2,2,54.0,4.8,3,0.0,1.0,3.0,2,38.519999999999996,1
186,4,1,0,2,2,3,0,2,63.0,50,860.6,1,42.0,10.1,1,0.0,1.0,0.0,0,13.0,1
187,0,8,1,4,3,0,0,1,57.23,80,523.3,1,16.0,10.1,4,0.0,1.0,2.0,1,0.0,0
188,6,22,2,4,0,1,4,3,95.81,50,249.1,2,37.0,8.8,2,1.0,1.0,5.0,2,45.81,1
189,6,7,4,0,0,4,0,0,45.61,50,742.4,1,33.0,5.7,0,0.0,1.0,1.0,0,0.0,0
190,0,12,4,0,3,0,0,0,124.72,50,221.0,4,30.0,10.5,5,0.0,1.0,3.0,2,74.72,0
191,0,11,4,0,0,2,3,4,53.48,100,649.8,3,37.0,13.3,4,0.0,1.0,1.0,0,0.0,0
192,3,3,6,2,0,2,4,1,33.07,50,723.4,1,16.0,6.5,3,0.0,1.0,0.0,0,0.0,1
193,2,23,5,0,3,1,0,3,57.29,80,924.0,1,66.0,9.8,3,0.0,1.0,1.0,0,0.0,1
194,2,18,3,3,0,3,0,1,108.74,50,223.2,5,40.0,6.9,2,0.0,1.0,4.0,2,58.739999999999995,0
195,0,20,3,4,1,5,0,3,55.27,50,598.3,1,34.0,19.2,4,0.0,0.0,3.0,1,5.270000000000003,0
196,2,12,0,1,2,0,0,0,117.33,80,127.8,3,41.0,4.4,3,1.0,0.0,2.0,2,37.33,0
197,4,21,0,1,0,0,0,3,131.51,50,277.2,1,43.0,23.8,5,0.0,1.0,6.0,2,81.50999999999999,1
198,6,15,4,4,0,1,0,3,71.88,30,567.0,1,30.0,9.4,3,0.0,1.0,3.0,1,41.879999999999995,0
199,4,20,5,3,0,1,4,1,43.7,60,963.2,1,28.0,24.6,3,0.0,1.0,0.0,0,0.0,0
200,3,11,1,4,3,0,0,2,34.96,80,501.2,1,37.0,8.1,0,0.0,1.0,0.0,0,0.0,0
201,5,14,5,3,0,2,0,3,94.67,60,238.3,4,37.0,13.7,2,0.0,1.0,4.0,2,34.67,0
202,0,15,0,3,0,0,1,4,57.21,60,936.5,1,37.0,4.4,0,0.0,1.0,0.0,0,0.0,0
203,3,16,2,0,1,1,4,1,70.7,100,501.2,2,31.0,3.0,4,0.0,1.0,5.0,2,0.0,0
204,2,18,0,4,0,0,0,1,99.84,60,338.6,3,40.0,5.8,1,0.0,0.0,4.0,2,39.84,0
205,2,18,3,4,1,0,0,1,60.02,60,389.0,2,28.0,14.2,0,0.0,1.0,1.0,1,0.020000000000003126,0
206,4,16,0,0,3,0,4,1,30.81,30,797.0,2,30.0,18.8,0,1.0,1.0,0.0,0,0.8099999999999987,0
207,4,17,5,2,2,1,4,0,43.4,80,783.5,2,52.0,4.8,4,0.0,1.0,0.0,0,0.0,0
208,3,11,3,4,0,2,0,4,88.05,50,459.8,2,18.0,6.5,2,0.0,1.0,1.0,1,38.05,0
209,2,4,5,0,2,3,0,2,51.27,50,797.3,1,22.0,13.1,2,0.0,1.0,0.0,0,1.2700000000000031,1
210,2,8,1,4,0,1,4,3,70.7,100,281.4,2,37.0,12.3,4,0.0,0.0,7.5,2,0.0,0
211,1,9,0,4,0,2,4,0,98.81,60,271.7,3,49.0,12.7,1,0.0,1.0,6.0,2,38.81,0
212,2,20,1,2,0,0,0,3,105.03,120,111.8,4,22.0,19.7,0,0.0,0.0,2.0,2,0.0,0
213,0,12,2,2,3,2,4,3,69.69,100,501.2,2,38.0,15.6,3,0.0,1.0,0.0,0,0.0,0
214,3,12,2,3,0,2,3,4,110.05,50,235.6,2,37.0,13.8,3,0.0,1.0,3.0,2,60.05,0
215,6,7,1,0,0,2,0,3,95.71,80,465.8,4,63.0,17.6,0,0.0,1.0,0.0,1,15.709999999999994,0
216,2,3,2,4,2,0,0,2,108.22,80,501.2,4,37.0,13.9,3,0.0,1.0,3.0,2,28.22,1
217,4,1,5,0,0,0,4,2,82.14,80,300.8,3,34.0,14.3,5,1.0,0.0,2.0,2,2.1400000000000006,1
218,6,23,5,3,0,3,0,4,118.8,30,262.9,6,38.0,21.5,3,0.0,1.0,2.0,2,88.8,1
219,2,12,5,1,0,3,4,1,72.48,80,501.2,1,40.0,19.3,0,0.0,1.0,1.0,1,0.0,0
220,5,10,5,3,3,0,0,0,72.18,80,427.1,1,37.0,10.1,4,0.0,1.0,2.0,1,0.0,0
221,3,9,3,0,0,0,2,0,73.35,30,557.5,3,24.0,14.7,0,0.0,1.0,2.0,1,43.349999999999994,0
222,4,16,5,3,0,1,0,3,73.55,30,491.2,4,49.0,25.3,0,1.0,0.0,0.0,1,43.55,0
223,6,17,5,2,0,0,4,1,70.7,80,381.9,3,31.0,9.5,2,0.0,0.0,3.0,2,0.0,0
