accident_id,date,time,day_of_week,hour,state,road_type,junction_type,weather_condition,road_condition,light_condition,speed_kmh,speed_limit_kmh,visibility_m,num_vehicles,driver_age,driver_experience_yrs,vehicle_type,alcohol_involved,seatbelt_worn,num_casualties,redundant_record_id,system_flag,random_noise_code,useless_ratio,accident_severity
ACC03102,2020-11-27,20:00,Monday,20,FL,Highway,Roundabout,Clear,Dry,Daylight,80.92,80,,3,50.0,0.0,SUV,0.0,1.0,0,3102,PROCESSED,385860,0.827,Moderate
ACC06354,2021-11-30,11:00,Monday,11,N.Y.,One-way,T-Junction,Rainy,Dry,Dusk,51.62,100,884.5,1,28.0,5.3,Van,0.0,1.0,0,6354,PROCESSED,902798,0.8831,Minor
ACC03153,2021-04-29,06:00,Saturday,6,OH,Urban Road,Crossroads,Stormy,Dry,Dawn,63.74,100,450.7,1,44.0,,Bus,0.0,1.0,1,3153,PROCESSED,670909,0.2224,Moderate
ACC03793,2020-03-14,09:00,Saturday,9,Washington,Urban Road,None,Clear,Dry,Night - Lit,60.19,120,944.0,1,55.0,5.7,Bus,0.0,1.0,0,3793,PROCESSED,771996,0.8968,Minor
ACC02274,2022-08-06,11:00,Saturday,11,Florida,Urban Road,None,Clear,Wet,Night - Unlit,35.42,60,892.2,2,28.0,13.9,Truck,0.0,,0,2274,PROCESSED,605533,0.2943,Minor
ACC01784,2021-12-03,21:00,Thursday,21,New York,Highway,None,Clear,,Night - Unlit,52.33,100,853.7,1,52.0,11.3,Bus,0.0,1.0,0,1784,PROCESSED,464742,0.2911,Minor
ACC04541,2023-11-11,16:00,Sunday,16,California,Urban Road,Roundabout,,Under Construction,Night - Unlit,,100,652.6,1,50.0,,Car,0.0,0.0,1,4541,PROCESSED,568638,0.5247,Minor
ACC06584,2022-07-07,10:00,Sunday,10,N.Y.,Highway,Roundabout,Wet Weather,Dry,Dawn,101.67,60,313.0,1,28.0,4.5,Bus,1.0,0.0,5,6584,PROCESSED,984194,0.4774,Severe
ACC02678,2020-12-02,11:00,Saturday,11,IL,Highway,None,Fair,Dry,Night - Lit,71.58,60,493.5,1,50.0,9.0,Motorcycle,0.0,1.0,2,2678,PROCESSED,543408,0.0446,Moderate
ACC07216,2023-11-10,12:00,Tuesday,12,WA,Urban Road,T-Junction,Windy,Dry,Dawn,47.54,80,773.7,1,39.0,16.8,Car,,1.0,0,7216,PROCESSED,812524,0.1285,Minor
ACC05029,2022-09-12,15:00,Saturday,15,WA,Highway,Slip Road,Foggy,Icy,Daylight,109.09,30,217.4,2,47.0,,Bus,,,2,5029,PROCESSED,591149,0.2687,Severe
ACC06162,2021-07-12,17:00,Wednesday,17,Florida,One-way,Crossroads,Snowy,,Daylight,,80,865.4,5,,18.4,Bus,0.0,,0,6162,PROCESSED,740283,0.2756,Minor
ACC00617,2021-06-13,06:00,Saturday,6,Illinois,Urban Road,T-Junction,Clear,Icy,Night - Unlit,,120,363.4,1,41.0,11.5,Truck,1.0,1.0,0,617,PROCESSED,428005,0.6432,Moderate
ACC03104,2021-04-17,20:00,Saturday,20,ny,Rural Road,T-Junction,snowy,Wet,Night - Unlit,74.35,120,496.5,4,27.0,15.3,SUV,0.0,1.0,2,3104,PROCESSED,991924,0.5489,Moderate
ACC00170,2020-07-10,09:00,Sunday,9,WA,Urban Road,Crossroads,Foggy,Dry,Daylight,,120,738.6,2,22.0,0.5,,0.0,1.0,0,170,PROCESSED,122203,0.7013,Minor
ACC05717,2023-06-13,02:00,Friday,2,ny,Highway,T-Junction,Stormy,Dry,Dusk,64.71,60,294.9,3,16.0,3.4,Motorcycle,0.0,1.0,1,5717,PROCESSED,714767,0.965,Moderate
ACC01816,2021-09-15,12:00,Friday,12,TX,Highway,Crossroads,Clear,Dry,Daylight,122.28,30,225.6,2,61.0,11.4,Motorcycle,0.0,1.0,3,1816,PROCESSED,772037,0.1179,Severe
ACC05570,2023-06-18,21:00,Friday,21,Ohio,Rural Road,Slip Road,snowy,Dry,Dawn,43.24,50,788.1,1,16.0,9.9,SUV,0.0,1.0,0,5570,PROCESSED,927835,0.5633,Minor
ACC05864,2023-06-08,20:00,Friday,20,CA,Highway,Slip Road,Snowy,Wet,,124.85,30,285.0,2,43.0,,Truck,0.0,0.0,4,5864,PROCESSED,270262,0.3566,Severe
ACC07780,2020-09-27,11:00,Sunday,11,N.Y.,Highway,Slip Road,Fog,Icy,Daylight,98.89,50,208.3,4,24.0,,Motorcycle,1.0,0.0,5,7780,PROCESSED,403102,0.3719,Severe
ACC01408,2020-03-11,01:00,Saturday,1,Ill.,Highway,None,Clear,,Night - Unlit,118.98,60,331.2,3,52.0,21.6,Car,0.0,0.0,2,1408,PROCESSED,660318,0.8983,Severe
ACC02228,2023-06-24,15:00,Friday,15,New York,Rural Road,Crossroads,,Dry,Night - Lit,58.95,50,818.8,2,64.0,7.9,,,,0,2228,PROCESSED,304497,0.6644,Minor
ACC00698,2022-12-03,20:00,Monday,20,fl,Urban Road,T-Junction,Clear,,Night - Unlit,74.22,60,518.3,1,24.0,3.6,Truck,0.0,0.0,1,698,PROCESSED,448539,0.6468,Moderate
ACC02347,2020-05-12,19:00,Friday,19,Florida,Highway,Crossroads,Rainy,,Dusk,75.64,60,547.1,1,50.0,5.2,Van,1.0,1.0,1,2347,PROCESSED,197724,0.2068,Moderate
ACC00192,2022-07-09,21:00,Thursday,21,OH,Urban Road,None,Rainy,Icy,Daylight,53.35,50,847.9,1,37.0,0.0,Car,,,0,192,PROCESSED,949559,0.0842,Minor
ACC04550,2023-02-22,08:00,Monday,8,Ohio,One-way,T-Junction,Foggy,Dry,Night - Unlit,92.57,80,167.1,3,43.0,,SUV,,0.0,1,4550,PROCESSED,529719,0.6754,Severe
ACC07509,2020-06-09,09:00,Monday,9,IL,Rural Road,Crossroads,Rainy,Dry,Night - Lit,80.1,50,436.6,3,55.0,3.4,Bus,0.0,1.0,4,7509,PROCESSED,683640,0.3795,Moderate
ACC04380,2021-05-20,17:00,Tuesday,17,NY,One-way,T-Junction,Clear,Wet,Daylight,82.74,50,466.5,1,38.0,15.9,Car,,1.0,1,4380,PROCESSED,284427,0.5368,Moderate
ACC07187,2022-03-30,19:00,Monday,19,TX,Urban Road,None,Snowy,Dry,Daylight,25.28,50,727.4,1,31.0,5.1,Car,0.0,1.0,1,7187,PROCESSED,931297,0.4839,Minor
ACC02708,2023-03-25,05:00,Saturday,5,IL,Highway,Crossroads,High Wind,Dry,Daylight,81.58,60,489.9,2,22.0,18.9,Truck,0.0,1.0,1,2708,PROCESSED,881427,0.8825,Moderate
ACC01776,2023-07-20,16:00,Monday,16,New York,Highway,Roundabout,Clear,Dry,Dawn,89.29,60,168.9,3,26.0,,Motorcycle,0.0,,4,1776,PROCESSED,174399,0.4348,Severe
ACC03651,2023-03-26,22:00,Friday,22,TX,Urban Road,T-Junction,Snowy,Icy,Daylight,,100,824.4,4,24.0,,Van,0.0,1.0,0,3651,PROCESSED,139159,0.0518,Minor
ACC05050,2020-04-04,02:00,Saturday,2,Ohio,Urban Road,Crossroads,Foggy,Icy,Night - Unlit,39.91,100,774.1,2,16.0,18.7,Bus,0.0,1.0,0,5050,PROCESSED,280959,0.5336,Minor
ACC02373,2023-12-21,15:00,Sunday,15,Ill.,Highway,None,Clear,Under Construction,Night - Unlit,65.01,60,733.7,1,42.0,11.2,Motorcycle,0.0,1.0,0,2373,PROCESSED,158416,0.2431,Minor
ACC02570,2020-09-27,09:00,Monday,9,NY,Highway,None,Clear,Dry,Night - Lit,77.5,60,310.7,3,39.0,10.8,Car,0.0,1.0,3,2570,PROCESSED,928763,0.5041,Severe
ACC02917,2022-11-25,07:00,Friday,7,Florida,Rural Road,None,Clear,Dry,Night - Lit,,100,216.0,4,43.0,12.3,Van,1.0,,1,2917,PROCESSED,666273,0.0513,Severe
ACC03437,2022-08-18,18:00,Friday,18,IL,Rural Road,None,Clear,Wet,Dusk,74.94,50,646.2,2,24.0,6.8,Van,,0.0,1,3437,PROCESSED,586144,0.5699,Moderate
ACC07735,2020-12-20,12:00,Saturday,12,fl,Highway,Slip Road,Clear,Potholed,Dawn,73.89,80,535.2,2,33.0,18.7,,0.0,1.0,5,7735,PROCESSED,247447,0.6117,Moderate
ACC00802,2020-01-13,16:00,Friday,16,fl,Urban Road,Crossroads,Rainy,Potholed,Night - Unlit,108.04,50,282.4,2,35.0,3.2,Motorcycle,1.0,0.0,2,802,PROCESSED,906230,0.7201,Severe
ACC04904,2020-10-15,19:00,Monday,19,Ill.,Urban Road,None,Clear,Dry,Daylight,48.42,50,877.6,1,46.0,15.2,SUV,0.0,0.0,0,4904,PROCESSED,645861,0.7644,Minor
ACC06305,2023-05-09,03:00,Sunday,3,NY,Urban Road,None,Windy,Wet,Night - Lit,54.14,80,825.5,2,36.0,,Truck,,1.0,0,6305,PROCESSED,824360,0.4795,Minor
ACC04488,2023-08-01,20:00,Sunday,20,CA.,Expressway,None,,Dry,Dawn,69.24,100,487.9,1,45.0,21.6,SUV,,1.0,0,4488,PROCESSED,496203,0.8782,Moderate
ACC04268,2020-01-02,19:00,Thursday,19,Washington,One-way,Slip Road,Windy,Icy,Night - Unlit,69.93,50,499.2,2,42.0,9.7,SUV,0.0,1.0,2,4268,PROCESSED,949850,0.7518,Moderate
ACC07769,2021-09-16,08:00,Saturday,8,Illinois,Rural Road,Roundabout,Clear,Dry,,107.96,50,230.5,1,24.0,23.5,Van,1.0,1.0,3,7769,PROCESSED,552944,0.6765,Severe
ACC07949,2020-11-27,18:00,Sunday,18,TX,Urban Road,Slip Road,Foggy,,Daylight,95.49,60,146.5,1,28.0,12.8,Van,0.0,1.0,2,7949,PROCESSED,157036,0.2956,Severe
ACC03074,2021-09-08,09:00,Wednesday,9,IL,Urban Road,Crossroads,,Dry,Dawn,111.09,120,290.0,2,22.0,14.6,Truck,0.0,1.0,3,3074,PROCESSED,762022,0.5819,Severe
ACC06115,2020-02-04,22:00,Tuesday,22,Texas,Rural Road,Roundabout,Foggy,Under Construction,Night - Lit,73.21,80,470.3,6,,6.9,,1.0,1.0,1,6115,PROCESSED,977570,0.6446,Moderate
ACC05982,2022-03-12,11:00,Friday,11,California,Highway,Crossroads,High Wind,,Daylight,100.45,80,345.3,1,55.0,6.2,Bus,0.0,0.0,5,5982,PROCESSED,583371,0.749,Severe
ACC03749,2022-08-16,01:00,Saturday,1,TX,Urban Road,None,Rainy,Wet,Night - Unlit,,60,472.3,1,38.0,7.7,Car,0.0,1.0,2,3749,PROCESSED,869553,0.033,Moderate
ACC05990,2023-01-02,07:00,Friday,7,Ill.,Urban Road,T-Junction,Foggy,Under Construction,Dawn,47.33,30,787.3,1,33.0,9.2,Truck,0.0,0.0,0,5990,PROCESSED,781409,0.3497,Minor
ACC06326,2021-12-26,08:00,Sunday,8,Ill.,Highway,T-Junction,Clear,Icy,Daylight,38.98,50,941.3,1,,4.7,Bus,0.0,1.0,0,6326,PROCESSED,897125,0.1246,Minor
ACC00836,2020-03-11,21:00,Saturday,21,Texas,Expressway,None,Clear,Wet,,93.3,120,320.3,7,24.0,13.1,Bus,0.0,0.0,2,836,PROCESSED,171755,0.9767,Severe
ACC02681,2023-06-14,19:00,Monday,19,New York,Urban Road,Slip Road,Fair,Under Construction,,,60,731.6,1,31.0,16.5,Truck,0.0,0.0,0,2681,PROCESSED,123380,0.6594,Minor
ACC04863,2023-05-12,22:00,Friday,22,Ill.,Rural Road,None,Clear,Wet,Night - Lit,67.88,30,,3,44.0,6.7,SUV,0.0,1.0,2,4863,PROCESSED,125454,0.6479,Moderate
ACC02785,2023-07-08,11:00,Sunday,11,fl,Highway,None,Stormy,Icy,Daylight,114.02,50,116.0,2,21.0,18.2,Bus,0.0,,4,2785,PROCESSED,969065,0.9915,Severe
ACC07166,2021-08-11,14:00,Friday,14,FL,Highway,Roundabout,Foggy,Dry,Daylight,72.45,30,305.6,3,35.0,23.8,Motorcycle,,0.0,1,7166,PROCESSED,356970,0.5481,Severe
ACC04987,2022-02-23,14:00,Monday,14,Ohio,Expressway,Crossroads,Clear,Dry,,86.0,100,519.3,4,20.0,12.1,Truck,0.0,1.0,1,4987,PROCESSED,758291,0.7196,Moderate
ACC06048,2020-05-13,19:00,Wednesday,19,Ohio,Highway,None,Foggy,Wet,Daylight,28.48,60,600.2,2,44.0,7.0,SUV,0.0,1.0,1,6048,PROCESSED,135714,0.4479,Minor
ACC04681,2022-06-22,07:00,Tuesday,7,CA,Urban Road,Crossroads,Clear,Icy,Dawn,86.8,50,224.3,4,,20.0,Car,1.0,0.0,0,4681,PROCESSED,128457,0.0478,Severe
ACC00598,2021-03-13,07:00,Tuesday,7,CA.,Urban Road,Roundabout,Clear,Wet,Dawn,53.42,50,603.3,1,35.0,2.1,Bus,0.0,1.0,0,598,PROCESSED,388036,0.7553,Minor
ACC02482,2020-07-19,23:00,Monday,23,TX,Highway,None,Clear,Under Construction,,70.11,60,,1,,14.2,Car,0.0,1.0,1,2482,PROCESSED,869452,0.5503,Moderate
ACC02086,2020-11-30,18:00,Friday,18,fl,One-way,Crossroads,Rainy,Wet,Dusk,112.98,120,290.8,5,41.0,9.9,Bus,0.0,1.0,6,2086,PROCESSED,318887,0.5422,Severe
ACC00414,2021-09-11,11:00,Friday,11,Ill.,One-way,Crossroads,CLEAR,Potholed,Daylight,24.11,120,678.8,1,33.0,12.7,,0.0,1.0,0,414,PROCESSED,196114,0.7487,Minor
ACC06658,2021-03-06,20:00,Thursday,20,OH,Rural Road,Slip Road,Windy,Dry,Night - Unlit,17.74,60,909.6,1,52.0,17.6,SUV,,,0,6658,PROCESSED,487473,0.7509,Minor
ACC03515,2023-02-19,10:00,Wednesday,10,Tx,Expressway,Crossroads,Clear,Wet,Daylight,112.2,50,280.4,1,46.0,12.3,Bus,,1.0,3,3515,PROCESSED,587109,0.6249,Severe
ACC05620,2020-11-17,09:00,Monday,9,Florida,Urban Road,Crossroads,Windy,Dry,Daylight,87.52,120,315.2,6,46.0,,Car,1.0,0.0,1,5620,PROCESSED,169602,0.8476,Severe
ACC03101,2021-09-17,21:00,Sunday,21,NY,Rural Road,T-Junction,Snowy,Dry,Daylight,,60,769.3,1,25.0,0.0,SUV,,0.0,0,3101,PROCESSED,289006,0.1452,Minor
ACC03265,2021-03-30,23:00,Tuesday,23,ny,Expressway,T-Junction,Clear,Wet,Daylight,40.66,80,773.1,1,16.0,8.0,Car,0.0,1.0,0,3265,PROCESSED,147434,0.8873,Minor
ACC04768,2020-10-27,08:00,Saturday,8,IL,Highway,Crossroads,Snowy,Wet,Daylight,95.65,50,315.5,4,32.0,11.4,Van,,1.0,4,4768,PROCESSED,186049,0.5699,Severe
ACC06045,2022-02-25,23:00,Tuesday,23,CA,One-way,Roundabout,Rainy,Icy,Night - Unlit,38.77,50,893.4,2,33.0,13.3,Car,1.0,1.0,0,6045,PROCESSED,489428,0.9212,Minor
ACC02249,2023-12-03,20:00,Saturday,20,FL,Urban Road,None,Clear,Dry,Daylight,36.51,50,866.9,2,48.0,10.0,,0.0,1.0,1,2249,PROCESSED,155289,0.416,Minor
ACC02960,2023-07-21,07:00,Sunday,7,Ill.,Rural Road,T-Junction,Foggy,Icy,Daylight,62.57,120,823.3,1,38.0,2.1,Motorcycle,0.0,1.0,0,2960,PROCESSED,401193,0.4423,Minor
ACC07910,2020-11-11,19:00,Thursday,19,CA.,Urban Road,Slip Road,Fog,Wet,Night - Unlit,46.09,50,806.1,3,36.0,7.6,SUV,0.0,1.0,0,7910,PROCESSED,326924,0.9667,Minor
ACC02318,2021-05-18,22:00,Thursday,22,Texas,Rural Road,T-Junction,Clear,Dry,Night - Lit,68.55,100,545.4,2,21.0,22.2,Bus,0.0,1.0,1,2318,PROCESSED,501111,0.6285,Moderate
ACC00614,2021-03-05,04:00,Thursday,4,ny,Rural Road,None,,Icy,,53.38,80,759.8,1,16.0,,Motorcycle,0.0,1.0,0,614,PROCESSED,358433,0.8514,Minor
ACC05265,2023-12-02,11:00,Saturday,11,Florida,Rural Road,None,Clear,Dry,Dusk,44.15,100,796.4,1,66.0,,Truck,0.0,0.0,1,5265,PROCESSED,133132,0.6639,Minor
